id,issue_type,complaint_text,area,votes,attachments,priority_label
1275,Illegal Parking,Blocking road,Bokaro,98,3,High
1276,Public Toilet Issue,Toilet unclean,Chaibasa,27,5,High
1277,Public Toilet Issue,smelly toilet,Bokaro,18,5,High
1278,Pothole,Road broken badly,Chaibasa,46,3,Medium
1279,Illegal Parking,Cars parked illegally,Dhanbad,34,2,Medium
1280,Public Toilet Issue,smelly toilet,Bokaro,53,4,High
1281,Illegal Parking,no parking followed,Dhanbad,43,2,Medium
1282,Water Leakage,pipe se pani nikal raha hai,Deoghar,89,3,High
1283,Streetlight Not Working,bulb kharab,Dhanbad,9,5,High
1284,Drainage Blockage,Nali jam hai,Chaibasa,1,1,High
1285,Illegal Parking,Blocking road,Ranchi,33,4,Medium
1286,Noise Pollution,DJ loud hai,Bokaro,12,0,Medium
1287,Illegal Parking,no parking followed,Bokaro,27,2,Medium
1288,Pothole,khadda on street,Jamshedpur,38,2,Medium
1289,Drainage Blockage,Drain blocked,Deoghar,69,3,High
1290,Road Damage,bad road condition,Giridih,76,1,High
1291,Electricity Outage,Power cut in area,Jamshedpur,89,4,High
1292,Noise Pollution,Loud noise,Chaibasa,52,0,Medium
1293,Electricity Outage,power outage,Bokaro,53,1,High
1294,Garbage Dump,ganda kachra near market,Giridih,44,3,Medium
1295,Electricity Outage,No electricity since morning,Hazaribagh,34,5,High
1296,Streetlight Not Working,Light not working,Ranchi,0,3,Medium
1297,Road Damage,road crack,Deoghar,94,4,High
1298,Road Damage,Road damaged,Giridih,50,1,Low
1299,Illegal Parking,illegal gaadi parking,Giridih,93,1,High
1300,Water Leakage,leakage of pani,Giridih,64,0,High
1301,Garbage Dump,Overflowing garbage,Giridih,11,0,High
1302,Road Damage,Road damaged,Giridih,10,4,Medium
1303,Drainage Blockage,Drainage issue,Bokaro,23,1,High
1304,Illegal Parking,illegal gaadi parking,Ranchi,98,2,High
1305,Garbage Dump,Overflowing garbage,Jamshedpur,14,3,Medium
1306,Garbage Dump,ganda kachra near market,Bokaro,63,2,Medium
1307,Public Toilet Issue,toilet band hai,Bokaro,80,0,Medium
1308,Water Leakage,Water leakage near colony,Ranchi,23,2,High
1309,Garbage Dump,Overflowing garbage,Chaibasa,43,2,Low
1310,Streetlight Not Working,Street dark at night,Ranchi,77,0,Medium
1311,Pothole,Big pothole on road,Bokaro,41,1,High
1312,Public Toilet Issue,smelly toilet,Deoghar,25,0,Low
1313,Illegal Parking,no parking followed,Dhanbad,24,2,Low
1314,Illegal Parking,no parking followed,Hazaribagh,13,4,Medium
1315,Public Toilet Issue,smelly toilet,Hazaribagh,54,4,High
1316,Noise Pollution,high sound pollution,Jamshedpur,45,2,High
1317,Noise Pollution,high sound pollution,Deoghar,52,2,High
1318,Water Leakage,Water leakage near colony,Jamshedpur,45,1,High
1319,Garbage Dump,Garbage not collected,Ranchi,1,2,Low
1320,Streetlight Not Working,bulb kharab,Giridih,71,0,High
1321,Electricity Outage,power outage,Jamshedpur,91,4,High
1322,Streetlight Not Working,Streetlight issue,Chaibasa,25,0,Low
1323,Public Toilet Issue,toilet band hai,Deoghar,21,4,High
1324,Pothole,khadda on street,Dhanbad,59,2,Medium
1325,Drainage Blockage,dirty water overflow,Jamshedpur,82,0,High
1326,Electricity Outage,Power cut in area,Giridih,40,2,High
1327,Illegal Parking,Blocking road,Chaibasa,38,5,Medium
1328,Drainage Blockage,Nali jam hai,Ranchi,79,0,High
1329,Drainage Blockage,Nali jam hai,Giridih,88,5,High
1330,Drainage Blockage,Drainage issue,Ranchi,68,0,Medium
1331,Garbage Dump,Garbage not collected,Giridih,33,2,High
1332,Garbage Dump,ganda kachra near market,Dhanbad,16,2,High
1333,Streetlight Not Working,bulb kharab,Chaibasa,73,3,Medium
1334,Electricity Outage,No electricity since morning,Jamshedpur,98,2,High
1335,Streetlight Not Working,Streetlight issue,Jamshedpur,88,0,High
1336,Illegal Parking,illegal gaadi parking,Jamshedpur,24,3,High
1337,Drainage Blockage,Nali jam hai,Chaibasa,97,2,High
1338,Drainage Blockage,dirty water overflow,Bokaro,49,3,High
1339,Electricity Outage,Bijli chali gayi,Jamshedpur,73,5,High
1340,Pothole,Big pothole on road,Hazaribagh,58,1,High
1341,Garbage Dump,ganda kachra near market,Deoghar,70,0,Medium
1342,Drainage Blockage,Drainage issue,Hazaribagh,6,3,High
1343,Illegal Parking,Blocking road,Bokaro,24,2,Medium
1344,Road Damage,Sadak kharab hai,Ranchi,55,0,Medium
1345,Pothole,Big pothole on road,Bokaro,73,2,High
1346,Illegal Parking,no parking followed,Jamshedpur,50,3,Medium
1347,Streetlight Not Working,bulb kharab,Deoghar,21,1,Low
1348,Road Damage,road crack,Chaibasa,89,4,Medium
1349,Garbage Dump,ganda kachra near market,Deoghar,21,1,Medium
1350,Drainage Blockage,Drain blocked,Hazaribagh,2,1,Medium
1351,Public Toilet Issue,Public toilet problem,Chaibasa,74,0,High
1352,Electricity Outage,Bijli chali gayi,Dhanbad,29,4,High
1353,Drainage Blockage,Drainage issue,Deoghar,57,3,High
1354,Drainage Blockage,dirty water overflow,Deoghar,38,5,High
1355,Pothole,Road broken badly,Bokaro,18,3,High
1356,Illegal Parking,no parking followed,Jamshedpur,46,1,Low
1357,Electricity Outage,Bijli chali gayi,Chaibasa,80,5,High
1358,Illegal Parking,illegal gaadi parking,Hazaribagh,75,3,High
1359,Noise Pollution,Noise disturbing area,Chaibasa,15,3,High
1360,Water Leakage,leakage of pani,Dhanbad,59,5,High
1361,Electricity Outage,power outage,Ranchi,8,2,High
1362,Pothole,khadda on street,Ranchi,62,2,Low
1363,Drainage Blockage,Drain blocked,Dhanbad,36,4,High
1364,Illegal Parking,no parking followed,Hazaribagh,74,0,High
1365,Illegal Parking,illegal gaadi parking,Jamshedpur,54,3,Medium
1366,Illegal Parking,no parking followed,Dhanbad,86,2,High
1367,Electricity Outage,Bijli chali gayi,Chaibasa,10,2,High
1368,Water Leakage,leakage of pani,Deoghar,67,3,High
1369,Illegal Parking,Blocking road,Ranchi,59,0,High
1370,Streetlight Not Working,Street dark at night,Deoghar,74,4,High
1371,Pothole,khadda on street,Dhanbad,96,3,High
1372,Road Damage,Road damaged,Jamshedpur,58,0,High
1373,Noise Pollution,Noise disturbing area,Chaibasa,12,2,Low
1374,Road Damage,Sadak kharab hai,Ranchi,94,5,High
1375,Water Leakage,leakage of pani,Dhanbad,28,5,High
1376,Public Toilet Issue,Toilet unclean,Bokaro,79,5,Medium
1377,Road Damage,Road damaged,Bokaro,12,1,Medium
1378,Pothole,khadda on street,Giridih,15,2,High
1379,Road Damage,Road damaged,Chaibasa,33,4,High
1380,Streetlight Not Working,Streetlight issue,Bokaro,21,4,Medium
1381,Noise Pollution,high sound pollution,Hazaribagh,63,2,High
1382,Illegal Parking,Blocking road,Hazaribagh,18,0,Medium
1383,Pothole,Big pothole on road,Chaibasa,82,5,High
1384,Public Toilet Issue,smelly toilet,Dhanbad,35,0,Medium
1385,Road Damage,Sadak kharab hai,Jamshedpur,49,4,Medium
1386,Drainage Blockage,Drainage issue,Dhanbad,58,5,High
1387,Garbage Dump,ganda kachra near market,Giridih,82,3,High
1388,Road Damage,Sadak kharab hai,Hazaribagh,99,5,Medium
1389,Noise Pollution,Loud noise,Jamshedpur,79,3,High
1390,Garbage Dump,Garbage not collected,Chaibasa,63,5,High
1391,Streetlight Not Working,Streetlight issue,Giridih,13,1,High
1392,Pothole,pothol road broken hai,Chaibasa,95,0,High
1393,Drainage Blockage,dirty water overflow,Chaibasa,13,5,High
1394,Streetlight Not Working,bulb kharab,Chaibasa,32,3,Medium
1395,Road Damage,Road damaged,Ranchi,24,0,Medium
1396,Drainage Blockage,Drainage issue,Jamshedpur,99,3,High
1397,Road Damage,bad road condition,Bokaro,63,1,High
1398,Water Leakage,pipe se pani nikal raha hai,Giridih,8,3,High
1399,Road Damage,bad road condition,Jamshedpur,38,0,Medium
1400,Streetlight Not Working,bulb kharab,Giridih,37,2,Low
1401,Garbage Dump,Garbage not collected,Bokaro,68,4,High
1402,Garbage Dump,Overflowing garbage,Hazaribagh,74,3,Medium
1403,Pothole,Big pothole on road,Deoghar,17,1,Medium
1404,Noise Pollution,Loud noise,Deoghar,89,0,Medium
1405,Garbage Dump,Garbage not collected,Dhanbad,70,3,High
1406,Streetlight Not Working,Streetlight issue,Giridih,83,2,Medium
1407,Pothole,khadda on street,Bokaro,7,0,Medium
1408,Pothole,khadda on street,Dhanbad,49,3,High
1409,Garbage Dump,kachra bahut hai,Deoghar,78,2,Medium
1410,Garbage Dump,ganda kachra near market,Bokaro,75,0,High
1411,Noise Pollution,Loud noise,Bokaro,5,0,Medium
1412,Pothole,pothol road broken hai,Bokaro,40,2,Low
1413,Garbage Dump,ganda kachra near market,Bokaro,9,2,High
1414,Streetlight Not Working,bulb kharab,Hazaribagh,56,5,High
1415,Road Damage,Road damaged,Jamshedpur,34,2,Medium
1416,Public Toilet Issue,Public toilet problem,Bokaro,35,0,Medium
1417,Road Damage,Sadak kharab hai,Deoghar,26,0,Medium
1418,Public Toilet Issue,Toilet unclean,Chaibasa,14,0,Low
1419,Garbage Dump,ganda kachra near market,Giridih,7,2,Low
1420,Streetlight Not Working,Streetlight issue,Dhanbad,26,3,Medium
1421,Pothole,Road broken badly,Hazaribagh,77,2,High
1422,Illegal Parking,Cars parked illegally,Ranchi,54,5,High
1423,Electricity Outage,No electricity since morning,Giridih,68,3,High
1424,Streetlight Not Working,bulb kharab,Hazaribagh,16,0,Low
1425,Drainage Blockage,Drainage issue,Ranchi,73,3,High
1426,Noise Pollution,Noise disturbing area,Hazaribagh,1,0,Low
1427,Pothole,Big pothole on road,Chaibasa,56,0,High
1428,Streetlight Not Working,bulb kharab,Jamshedpur,52,0,High
1429,Public Toilet Issue,smelly toilet,Hazaribagh,23,2,Medium
1430,Water Leakage,Water leakage near colony,Ranchi,79,5,High
1431,Public Toilet Issue,Public toilet problem,Ranchi,74,2,Medium
1432,Electricity Outage,Power cut in area,Deoghar,2,5,High
1433,Public Toilet Issue,Public toilet problem,Jamshedpur,14,4,Medium
1434,Illegal Parking,illegal gaadi parking,Giridih,9,5,High
1435,Drainage Blockage,dirty water overflow,Deoghar,52,5,Medium
1436,Pothole,Big pothole on road,Ranchi,37,1,Medium
1437,Road Damage,Sadak kharab hai,Deoghar,100,4,High
1438,Water Leakage,Pipeline burst,Jamshedpur,48,5,High
1439,Noise Pollution,Loud noise,Giridih,80,4,Medium
1440,Public Toilet Issue,smelly toilet,Chaibasa,84,4,Medium
1441,Streetlight Not Working,Street dark at night,Deoghar,42,1,Low
1442,Streetlight Not Working,bulb kharab,Giridih,56,5,Medium
1443,Drainage Blockage,dirty water overflow,Bokaro,83,3,High
1444,Water Leakage,Water leakage near colony,Giridih,68,1,High
1445,Garbage Dump,kachra bahut hai,Giridih,10,3,Medium
1446,Water Leakage,Pipeline burst,Dhanbad,58,0,High
1447,Public Toilet Issue,Toilet unclean,Dhanbad,95,0,High
1448,Garbage Dump,ganda kachra near market,Giridih,16,4,Medium
1449,Electricity Outage,Power cut in area,Deoghar,15,2,High
1450,Drainage Blockage,dirty water overflow,Chaibasa,57,3,High
1451,Water Leakage,Water leakage near colony,Jamshedpur,92,4,High
1452,Public Toilet Issue,Public toilet problem,Chaibasa,48,2,Medium
1453,Garbage Dump,Garbage not collected,Chaibasa,29,2,Low
1454,Road Damage,bad road condition,Deoghar,54,2,High
1455,Streetlight Not Working,bulb kharab,Hazaribagh,55,4,Medium
1456,Electricity Outage,Bijli chali gayi,Bokaro,62,3,High
1457,Garbage Dump,kachra bahut hai,Hazaribagh,29,5,Medium
1458,Water Leakage,Water leakage near colony,Ranchi,3,4,Low
1459,Electricity Outage,Bijli chali gayi,Chaibasa,73,3,High
1460,Garbage Dump,Garbage not collected,Chaibasa,56,3,Medium
1461,Garbage Dump,Overflowing garbage,Bokaro,45,0,Low
1462,Road Damage,Road damaged,Deoghar,86,0,High
1463,Drainage Blockage,Drain blocked,Ranchi,24,4,High
1464,Streetlight Not Working,Streetlight issue,Hazaribagh,86,1,Medium
1465,Electricity Outage,Bijli chali gayi,Jamshedpur,16,1,High
1466,Streetlight Not Working,Streetlight issue,Ranchi,90,1,High
1467,Streetlight Not Working,Street dark at night,Chaibasa,81,2,High
1468,Public Toilet Issue,smelly toilet,Giridih,62,5,High
1469,Electricity Outage,Bijli chali gayi,Deoghar,53,3,High
1470,Drainage Blockage,dirty water overflow,Deoghar,84,0,High
1471,Public Toilet Issue,Toilet unclean,Bokaro,76,3,Medium
1472,Illegal Parking,illegal gaadi parking,Deoghar,7,4,Medium
1473,Illegal Parking,illegal gaadi parking,Ranchi,51,2,High
1474,Pothole,Road broken badly,Giridih,39,3,High
1475,Garbage Dump,kachra bahut hai,Deoghar,78,4,High
1476,Illegal Parking,illegal gaadi parking,Deoghar,11,5,Medium
1477,Road Damage,Sadak kharab hai,Bokaro,26,2,Low
1478,Electricity Outage,power outage,Deoghar,20,2,High
1479,Pothole,khadda on street,Jamshedpur,2,4,High
1480,Pothole,Big pothole on road,Bokaro,29,5,Medium
1481,Illegal Parking,Cars parked illegally,Hazaribagh,16,5,High
1482,Illegal Parking,Cars parked illegally,Dhanbad,2,0,Low
1483,Noise Pollution,Loud noise,Giridih,39,2,Medium
1484,Noise Pollution,high sound pollution,Hazaribagh,60,3,High
1485,Public Toilet Issue,toilet band hai,Bokaro,36,5,Medium
1486,Drainage Blockage,dirty water overflow,Jamshedpur,97,4,High
1487,Streetlight Not Working,Light not working,Chaibasa,57,2,High
1488,Garbage Dump,kachra bahut hai,Dhanbad,12,4,High
1489,Water Leakage,Water leakage near colony,Chaibasa,51,4,High
1490,Drainage Blockage,dirty water overflow,Deoghar,19,0,Medium
1491,Road Damage,road crack,Chaibasa,62,4,Medium
1492,Public Toilet Issue,Toilet unclean,Jamshedpur,65,4,High
1493,Pothole,Road broken badly,Jamshedpur,20,4,Medium
1494,Illegal Parking,no parking followed,Chaibasa,63,1,Medium
1495,Electricity Outage,No electricity since morning,Hazaribagh,15,3,High
1496,Water Leakage,leakage of pani,Bokaro,18,2,High
1497,Drainage Blockage,Nali jam hai,Dhanbad,95,5,Medium
1498,Water Leakage,Pipeline burst,Jamshedpur,19,3,High
1499,Road Damage,Road damaged,Jamshedpur,58,2,Medium
1500,Road Damage,Sadak kharab hai,Ranchi,28,2,Medium
1501,Noise Pollution,high sound pollution,Deoghar,93,2,Medium
1502,Streetlight Not Working,Light not working,Dhanbad,9,4,High
1503,Garbage Dump,Garbage not collected,Giridih,16,4,Medium
1504,Noise Pollution,DJ loud hai,Bokaro,85,3,High
1505,Noise Pollution,high sound pollution,Dhanbad,18,1,Low
1506,Pothole,khadda on street,Chaibasa,17,4,High
1507,Garbage Dump,ganda kachra near market,Giridih,30,4,High
1508,Road Damage,Sadak kharab hai,Jamshedpur,40,4,Medium
1509,Water Leakage,pipe se pani nikal raha hai,Chaibasa,55,4,High
1510,Illegal Parking,Cars parked illegally,Dhanbad,83,2,Medium
1511,Drainage Blockage,Nali jam hai,Bokaro,93,3,High
1512,Pothole,Road broken badly,Deoghar,25,3,Medium
1513,Drainage Blockage,Drainage issue,Ranchi,32,4,High
1514,Pothole,pothol road broken hai,Hazaribagh,89,5,High
1515,Public Toilet Issue,toilet band hai,Chaibasa,77,5,Medium
1516,Road Damage,Road damaged,Deoghar,13,0,Low
1517,Water Leakage,Pipeline burst,Giridih,16,0,High
1518,Garbage Dump,Overflowing garbage,Bokaro,69,2,Medium
1519,Water Leakage,Pipeline burst,Deoghar,75,5,High
1520,Pothole,pothol road broken hai,Dhanbad,8,1,Low
1521,Streetlight Not Working,Street dark at night,Giridih,88,4,High
1522,Electricity Outage,Power cut in area,Deoghar,35,4,High
1523,Noise Pollution,Loud noise,Jamshedpur,59,0,High
1524,Pothole,Road broken badly,Ranchi,98,1,High
1525,Streetlight Not Working,Street dark at night,Bokaro,39,5,Medium
1526,Electricity Outage,power outage,Deoghar,17,4,High
1527,Water Leakage,leakage of pani,Chaibasa,37,2,High
1528,Road Damage,Road damaged,Dhanbad,57,5,Medium
1529,Noise Pollution,Noise disturbing area,Giridih,26,5,Medium
1530,Drainage Blockage,Drain blocked,Hazaribagh,89,4,High
1531,Electricity Outage,power outage,Dhanbad,4,0,High
1532,Illegal Parking,illegal gaadi parking,Ranchi,84,4,Medium
1533,Pothole,pothol road broken hai,Chaibasa,20,3,High
1534,Drainage Blockage,Nali jam hai,Chaibasa,39,1,Medium
1535,Noise Pollution,high sound pollution,Giridih,73,5,High
1536,Noise Pollution,Noise disturbing area,Giridih,43,3,High
1537,Road Damage,road crack,Giridih,13,3,High
1538,Water Leakage,Water leakage near colony,Bokaro,38,4,High
1539,Garbage Dump,ganda kachra near market,Deoghar,39,1,Low
1540,Streetlight Not Working,Light not working,Hazaribagh,22,2,Low
1541,Streetlight Not Working,Light not working,Deoghar,19,5,Medium
1542,Illegal Parking,Blocking road,Chaibasa,89,1,Medium
1543,Garbage Dump,kachra bahut hai,Deoghar,49,1,Low
1544,Illegal Parking,illegal gaadi parking,Jamshedpur,76,3,High
1545,Streetlight Not Working,bulb kharab,Bokaro,77,1,High
1546,Illegal Parking,no parking followed,Bokaro,9,5,High
1547,Garbage Dump,ganda kachra near market,Dhanbad,43,3,Medium
1548,Public Toilet Issue,Public toilet problem,Giridih,4,2,Low
1549,Public Toilet Issue,toilet band hai,Jamshedpur,10,2,High
1550,Noise Pollution,Loud noise,Chaibasa,64,3,High
1551,Pothole,Big pothole on road,Hazaribagh,38,3,High
1552,Drainage Blockage,Drainage issue,Deoghar,99,3,High
1553,Illegal Parking,Cars parked illegally,Dhanbad,86,0,High
1554,Streetlight Not Working,Streetlight issue,Chaibasa,65,4,Medium
1555,Public Toilet Issue,smelly toilet,Ranchi,58,2,Medium
1556,Pothole,pothol road broken hai,Dhanbad,69,2,High
1557,Pothole,Big pothole on road,Deoghar,76,0,High
1558,Road Damage,bad road condition,Dhanbad,12,1,Medium
1559,Noise Pollution,Loud noise,Chaibasa,31,5,High
1560,Garbage Dump,Garbage not collected,Jamshedpur,48,4,High
1561,Pothole,Big pothole on road,Hazaribagh,23,5,High
1562,Streetlight Not Working,Street dark at night,Hazaribagh,73,2,High
1563,Streetlight Not Working,Street dark at night,Hazaribagh,97,3,Medium
1564,Water Leakage,Pipeline burst,Hazaribagh,86,2,High
1565,Water Leakage,leakage of pani,Chaibasa,35,2,High
1566,Streetlight Not Working,Streetlight issue,Hazaribagh,8,4,High
1567,Illegal Parking,illegal gaadi parking,Ranchi,60,4,High
1568,Public Toilet Issue,Public toilet problem,Bokaro,95,3,High
1569,Garbage Dump,Overflowing garbage,Deoghar,80,3,Medium
1570,Electricity Outage,power outage,Chaibasa,96,2,High
1571,Drainage Blockage,Drain blocked,Giridih,72,3,High
1572,Streetlight Not Working,Streetlight issue,Dhanbad,48,4,High
1573,Streetlight Not Working,Street dark at night,Hazaribagh,27,0,Medium
1574,Illegal Parking,no parking followed,Deoghar,70,3,High
1575,Drainage Blockage,dirty water overflow,Deoghar,80,0,High
1576,Electricity Outage,power outage,Dhanbad,57,1,High
1577,Public Toilet Issue,toilet band hai,Jamshedpur,83,1,High
1578,Streetlight Not Working,Street dark at night,Bokaro,81,0,High
1579,Noise Pollution,Noise disturbing area,Ranchi,93,3,Medium
1580,Garbage Dump,kachra bahut hai,Giridih,47,0,Medium
1581,Streetlight Not Working,bulb kharab,Bokaro,22,3,High
1582,Public Toilet Issue,Public toilet problem,Chaibasa,58,1,High
1583,Garbage Dump,kachra bahut hai,Dhanbad,77,2,Low
1584,Illegal Parking,Cars parked illegally,Giridih,66,3,Medium
1585,Road Damage,bad road condition,Ranchi,15,5,High
1586,Illegal Parking,Blocking road,Deoghar,92,0,Medium
1587,Illegal Parking,no parking followed,Jamshedpur,100,0,Medium
1588,Garbage Dump,ganda kachra near market,Deoghar,92,1,High
1589,Public Toilet Issue,smelly toilet,Jamshedpur,26,2,High
1590,Public Toilet Issue,smelly toilet,Hazaribagh,96,1,Medium
1591,Electricity Outage,Bijli chali gayi,Ranchi,72,2,High
1592,Drainage Blockage,Drainage issue,Hazaribagh,72,2,High
1593,Public Toilet Issue,Public toilet problem,Hazaribagh,91,3,High
1594,Electricity Outage,Power cut in area,Bokaro,49,2,Medium
1595,Pothole,khadda on street,Giridih,33,2,Medium
1596,Water Leakage,leakage of pani,Deoghar,75,4,High
1597,Road Damage,bad road condition,Chaibasa,61,1,High
1598,Electricity Outage,No electricity since morning,Dhanbad,26,1,Medium
1599,Streetlight Not Working,Light not working,Chaibasa,45,3,High
1600,Road Damage,road crack,Bokaro,29,5,Medium
1601,Drainage Blockage,Drain blocked,Hazaribagh,64,0,High
1602,Streetlight Not Working,Street dark at night,Dhanbad,31,2,Low
1603,Noise Pollution,Loud noise,Hazaribagh,34,4,Medium
1604,Water Leakage,Water leakage near colony,Ranchi,66,2,High
1605,Public Toilet Issue,smelly toilet,Ranchi,12,4,High
1606,Public Toilet Issue,Toilet unclean,Bokaro,10,3,High
1607,Noise Pollution,Loud noise,Giridih,1,4,Medium
1608,Noise Pollution,Loud noise,Chaibasa,81,4,High
1609,Water Leakage,leakage of pani,Chaibasa,42,4,High
1610,Streetlight Not Working,Streetlight issue,Hazaribagh,43,2,Low
1611,Pothole,khadda on street,Chaibasa,40,4,High
1612,Electricity Outage,Bijli chali gayi,Deoghar,12,3,High
1613,Electricity Outage,power outage,Deoghar,64,2,High
1614,Noise Pollution,DJ loud hai,Deoghar,86,1,High
1615,Water Leakage,leakage of pani,Dhanbad,78,5,High
1616,Illegal Parking,no parking followed,Hazaribagh,99,5,Medium
1617,Electricity Outage,No electricity since morning,Hazaribagh,47,1,Medium
1618,Electricity Outage,power outage,Giridih,54,4,High
1619,Illegal Parking,Blocking road,Dhanbad,45,5,High
1620,Streetlight Not Working,bulb kharab,Hazaribagh,84,5,High
1621,Illegal Parking,no parking followed,Bokaro,41,4,Medium
1622,Garbage Dump,ganda kachra near market,Deoghar,31,1,Medium
1623,Pothole,khadda on street,Giridih,99,5,Medium
1624,Pothole,pothol road broken hai,Deoghar,12,0,Medium
1625,Public Toilet Issue,smelly toilet,Jamshedpur,17,5,High
1626,Water Leakage,Pipeline burst,Bokaro,75,2,High
1627,Electricity Outage,Power cut in area,Hazaribagh,71,4,High
1628,Drainage Blockage,Nali jam hai,Bokaro,46,3,High
1629,Streetlight Not Working,bulb kharab,Hazaribagh,86,5,High
1630,Illegal Parking,Cars parked illegally,Chaibasa,54,3,High
1631,Drainage Blockage,Drain blocked,Giridih,2,4,High
1632,Road Damage,Road damaged,Deoghar,62,2,Medium
1633,Garbage Dump,ganda kachra near market,Jamshedpur,68,1,High
1634,Illegal Parking,no parking followed,Chaibasa,35,3,High
1635,Drainage Blockage,Drain blocked,Giridih,58,4,High
1636,Illegal Parking,illegal gaadi parking,Bokaro,2,0,Medium
1637,Drainage Blockage,Drainage issue,Bokaro,68,3,High
1638,Streetlight Not Working,bulb kharab,Bokaro,98,1,High
1639,Pothole,Big pothole on road,Deoghar,99,1,High
1640,Streetlight Not Working,Streetlight issue,Dhanbad,25,2,Medium
1641,Drainage Blockage,Drain blocked,Chaibasa,3,1,Medium
1642,Streetlight Not Working,Streetlight issue,Chaibasa,48,0,Low
1643,Garbage Dump,kachra bahut hai,Jamshedpur,11,1,High
1644,Noise Pollution,high sound pollution,Deoghar,45,5,High
1645,Drainage Blockage,dirty water overflow,Jamshedpur,61,2,High
1646,Garbage Dump,Overflowing garbage,Hazaribagh,45,2,Low
1647,Garbage Dump,ganda kachra near market,Giridih,83,5,Medium
1648,Drainage Blockage,Nali jam hai,Bokaro,5,1,High
1649,Public Toilet Issue,Public toilet problem,Ranchi,97,0,High
1650,Illegal Parking,no parking followed,Dhanbad,20,3,Medium
1651,Water Leakage,Pipeline burst,Dhanbad,46,0,High
1652,Electricity Outage,Power cut in area,Ranchi,79,2,Low
1653,Illegal Parking,no parking followed,Giridih,5,4,High
1654,Garbage Dump,ganda kachra near market,Jamshedpur,53,0,Medium
1655,Public Toilet Issue,smelly toilet,Ranchi,17,4,Medium
1656,Drainage Blockage,Drain blocked,Deoghar,84,4,High
1657,Streetlight Not Working,Street dark at night,Dhanbad,16,1,Medium
1658,Illegal Parking,no parking followed,Jamshedpur,36,4,High
1659,Drainage Blockage,Nali jam hai,Hazaribagh,90,3,High
1660,Pothole,Road broken badly,Ranchi,95,3,High
1661,Streetlight Not Working,Light not working,Deoghar,20,3,High
1662,Noise Pollution,high sound pollution,Bokaro,51,3,Medium
1663,Electricity Outage,No electricity since morning,Deoghar,83,4,High
1664,Public Toilet Issue,Toilet unclean,Chaibasa,98,4,High
1665,Garbage Dump,Overflowing garbage,Giridih,100,2,High
1666,Public Toilet Issue,Public toilet problem,Hazaribagh,14,0,Medium
1667,Garbage Dump,kachra bahut hai,Giridih,64,1,Medium
1668,Streetlight Not Working,Street dark at night,Deoghar,93,5,High
1669,Drainage Blockage,Drainage issue,Dhanbad,69,1,High
1670,Noise Pollution,high sound pollution,Dhanbad,28,5,Medium
1671,Illegal Parking,Blocking road,Giridih,37,3,High
1672,Pothole,Road broken badly,Hazaribagh,9,2,High
1673,Pothole,Road broken badly,Dhanbad,96,3,High
1674,Streetlight Not Working,Streetlight issue,Giridih,50,1,Medium
1675,Streetlight Not Working,Light not working,Giridih,35,1,Medium
1676,Streetlight Not Working,bulb kharab,Hazaribagh,56,1,Medium
1677,Garbage Dump,kachra bahut hai,Chaibasa,98,5,High
1678,Noise Pollution,Noise disturbing area,Jamshedpur,58,1,Medium
1679,Garbage Dump,kachra bahut hai,Giridih,80,3,High
1680,Electricity Outage,Power cut in area,Jamshedpur,28,4,High
1681,Drainage Blockage,dirty water overflow,Chaibasa,30,5,High
1682,Electricity Outage,No electricity since morning,Hazaribagh,92,5,High
1683,Electricity Outage,Power cut in area,Ranchi,45,0,Medium
1684,Streetlight Not Working,Light not working,Hazaribagh,75,3,High
1685,Noise Pollution,Loud noise,Giridih,72,3,Medium
1686,Garbage Dump,kachra bahut hai,Jamshedpur,73,0,Medium
1687,Illegal Parking,illegal gaadi parking,Ranchi,50,5,Medium
1688,Road Damage,Road damaged,Giridih,4,3,High
1689,Drainage Blockage,Drain blocked,Giridih,12,2,Medium
1690,Drainage Blockage,dirty water overflow,Hazaribagh,45,1,Medium
1691,Electricity Outage,No electricity since morning,Bokaro,98,1,High
1692,Water Leakage,leakage of pani,Deoghar,63,0,High
1693,Streetlight Not Working,Light not working,Jamshedpur,40,2,Medium
1694,Water Leakage,leakage of pani,Bokaro,96,3,High
1695,Public Toilet Issue,smelly toilet,Dhanbad,46,1,Low
1696,Road Damage,Sadak kharab hai,Hazaribagh,89,5,High
1697,Garbage Dump,Garbage not collected,Giridih,91,4,Medium
1698,Water Leakage,Pipeline burst,Hazaribagh,49,0,High
1699,Streetlight Not Working,Light not working,Hazaribagh,70,1,Medium
1700,Streetlight Not Working,Street dark at night,Bokaro,28,3,High
1701,Public Toilet Issue,toilet band hai,Bokaro,56,3,Medium
1702,Noise Pollution,Noise disturbing area,Hazaribagh,49,5,Medium
1703,Streetlight Not Working,Light not working,Deoghar,40,4,High
1704,Streetlight Not Working,Light not working,Dhanbad,68,4,High
1705,Public Toilet Issue,Public toilet problem,Jamshedpur,68,2,High
1706,Road Damage,Road damaged,Hazaribagh,28,3,High
1707,Garbage Dump,Overflowing garbage,Chaibasa,21,0,Medium
1708,Garbage Dump,Garbage not collected,Jamshedpur,87,2,Medium
1709,Noise Pollution,high sound pollution,Dhanbad,62,3,High
1710,Electricity Outage,Bijli chali gayi,Giridih,42,1,Medium
1711,Pothole,Big pothole on road,Deoghar,78,0,High
